NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
SMA IT INSAN CENDEKIA MADANI GUNUNG GEULIS BOGOR,70010104,Gunung Geulis,Kec. Sukaraja,Kab. Bogor,16710,-6.6324205,106.8780214,SWASTA,A
SMA KRISTEN PENABUR KOTA WISATA,69873999,Ciangsana,Kec. Gunungputri,Kab. Bogor,16968,-6.349,106.9627,SWASTA,A
SMA Nahdlatul Wathan Bogor,NP905022,Ciburayut,Kec. Cigombong,Kab. Bogor,16110,-6.717824,106.778502,SWASTA,B
SMA NASIONAL PLUS BPK PENABUR,69946107,Citaringgul,Kec. Babakan Madang,Kab. Bogor,16810,-6.6074486,106.931853,SWASTA,A
SMA OMNISCHOOL,70047274,Ciriung,Kec. Cibinong,Kab. Bogor,-,-6.4663,106.8595,SWASTA,Belum/Tidak Terakreditasi
SMA PEMBERDAYAAN UMMAT AN NAHL,69899711,Gunung Picung,Kec. Pamijahan,Kab. Bogor,16810,-6.6506,106.6792,SWASTA,B
SMA PLUS  DAARUL FUDLOLA,20232327,Pabuaran,Kec. Cibinong,Kab. Bogor,16916,-6.448,106.8501,SWASTA,B
SMA PLUS LIWAUL FURQON,69824824,Karacak,Kec. Leuwiliang,Kab. Bogor,16640,-6.6088,106.6382,SWASTA,B
SMA PLUS PUTRA MELATI,69860526,Singasari,Kec. Jonggol,Kab. Bogor,16830,-6.4814,107.028,SWASTA,B
SMA Quran el Tahfidh,70026792,Jatisari,Kec. Cileungsi,Kab. Bogor,16820,-6.4069007,107.0540257,SWASTA,A
SMA QURAN ASY SYAHID,70039426,Ciangsana,Kec. Gunungputri,Kab. Bogor,16968,-6.3593,106.9571,SWASTA,Belum/Tidak Terakreditasi
SMA REGINA CAELI,69874079,Cileungsi Kidul,Kec. Cileungsi,Kab. Bogor,16820,-6.4136,107.0201,SWASTA,A
SMA SAINTEK UHAMKA BOARDING SCHOOL,70041760,Balekambang,Kec. Jonggol,Kab. Bogor,16830,-6.5027,107.0812,SWASTA,Belum/Tidak Terakreditasi
SMA SCHOOL OF UNIVERSE,69787173,Pamager Sari,Kec. Parung,Kab. Bogor,16330,-6.4401,106.7338,SWASTA,A
SMA Sekolah Alam Cikeas,70026880,Nagrak,Kec. Gunungputri,Kab. Bogor,16967,-6.390438,106.9363842,SWASTA,A
SMA SEKOLAH ANAK INDONESIA,69953095,Kadumangu,Kec. Babakan Madang,Kab. Bogor,16810,-6.578112,106.86369,SWASTA,B
SMA TARUNA BANGSA,69972352,Babakan Madang,Kec. Babakan Madang,Kab. Bogor,16810,-6.529131,106.850479,SWASTA,A
SMAIT MUTIARA ISLAM,70049177,Cileungsi,Kec. Cileungsi,Kab. Bogor,-,-6.4011,106.9676,SWASTA,Belum/Tidak Terakreditasi
SMAIT RAHMANIYAH,70029407,Pabuaran,Kec. Cibinong,Kab. Bogor,16916,-6.436151,106.8502902,SWASTA,A
SMAS AL ASIYAH,20232303,Pabuaran,Kec. Cibinong,Kab. Bogor,16916,-6.4634883,106.8549133,SWASTA,A
SMAS AL BASYARIAH,20232304,Rawa Panjang,Kec. Bojong Gede,Kab. Bogor,-,-6.4616,106.804,SWASTA,B
SMAS AL FALAH,20232305,Harapan Jaya,Kec. Cibinong,Kab. Bogor,16914,-6.455255,106.839447,SWASTA,B
SMAS AL HASANAH,20253857,Cigombong,Kec. Cigombong,Kab. Bogor,16740,-6.7414,106.8039,SWASTA,B
SMAS AL HIDAYAH,20232306,Tengah,Kec. Cibinong,Kab. Bogor,16914,-6.48508,106.8240583,SWASTA,B
SMAS AL HIKMAH,20268875,Tapos 2,Kec. Tenjolaya,Kab. Bogor,16371,-6.6313,106.6935,SWASTA,B
SMAS AL HUSNA,20232307,Cibeber I,Kec. Leuwiliang,Kab. Bogor,16640,-6.5864,106.6196,SWASTA,A
SMAS AL IJTIHAD,20231268,Cimayang,Kec. Pamijahan,Kab. Bogor,16810,-6.6109,106.6697,SWASTA,B
SMAS AL JIHAD,20271985,GUNUNG MULYA,Kec. Tenjolaya,Kab. Bogor,16620,-6.6478,106.7044,SWASTA,B
SMAS AL KAHFI,20252852,Srogol,Kec. Cigombong,Kab. Bogor,16110,-6.7455,106.8207,SWASTA,A
SMAS AL KAUTSAR,69757497,Parung Panjang,Kec. Parungpanjang,Kab. Bogor,16360,-6.3613,106.5626,SWASTA,B
SMAS AL KHAIRIYAH,20232310,Tajur,Kec. Citeureup,Kab. Bogor,16810,-6.5488,106.9159,SWASTA,B
SMAS AL MUKLISIN,20231301,Cibentang,Kec. Ciseeng,Kab. Bogor,16120,-6.4457,106.6872,SWASTA,A
SMAS AL MUSTHOPA,20231272,Tenjo,Kec. Tenjo,Kab. Bogor,16370,-6.3267,106.4663,SWASTA,B
SMAS AL NUR,20200682,Pabuaran,Kec. Cibinong,Kab. Bogor,16916,-6.4618133,106.85255,SWASTA,A
SMAS AMALIAH,20232313,Ciawi,Kec. Ciawi,Kab. Bogor,16720,-6.6557,106.8496,SWASTA,A
SMAS AN NAJAH,20246436,Sukamulya,Kec. Rumpin,Kab. Bogor,16350,-6.4297,106.5754,SWASTA,A
SMAS AN NUR ALIYYAH,20268738,Nagrak,Kec. Gunungputri,Kab. Bogor,16967,-6.3895,106.9487,SWASTA,A
SMAS AS SYUJA IYAH,20232315,Nagrak,Kec. Sukaraja,Kab. Bogor,16710,-6.5988,106.8435,SWASTA,A
SMAS ASHRIYAH NURUL IMAN,20257671,Warujaya,Kec. Parung,Kab. Bogor,16330,-6.4436,106.7083,SWASTA,A
SMAS AULIA,20200683,Situ Ilir,Kec. Cibungbulang,Kab. Bogor,16630,-6.6048,106.6546,SWASTA,B
SMAS BAITUSSALAM,20200690,Sasak Panjang,Kec. Tajurhalang,Kab. Bogor,16320,-6.4579,106.7469,SWASTA,B
SMAS BINA BANGSA MANDIRI,20231277,Cikeas Udik,Kec. Gunungputri,Kab. Bogor,16966,-6.4008,106.9375,SWASTA,A
SMAS BINA INSAN JONGGOL,20232353,Sukamaju,Kec. Jonggol,Kab. Bogor,16830,-6.4526,107.0602,SWASTA,A
SMAS BINA PENDIDIKAN 2,20232319,Ciangsana,Kec. Gunungputri,Kab. Bogor,16968,-6.3462,106.9613,SWASTA,A
SMAS BINA RUHAMA,20231280,Sukaraja,Kec. Sukaraja,Kab. Bogor,16710,-6.5892,106.8391,SWASTA,A
SMAS BP FAI UMJ,10648868,Jampang,Kec. Gunung Sindur,Kab. Bogor,16310,-6.4769,106.728,SWASTA,B
SMAS BUMI SEJAHTERA,20232322,Cimanggu 1,Kec. Cibungbulang,Kab. Bogor,16630,-6.5967,106.6682,SWASTA,B
SMAS BUNDA,20253279,Bojong Kulur,Kec. Gunungputri,Kab. Bogor,16969,-6.3241,106.9761,SWASTA,A
SMAS BUNDA HATI KUDUS,20231283,Nagrak,Kec. Gunungputri,Kab. Bogor,16968,-6.3874,106.9556,SWASTA,A
SMAS CISARUA,20232324,Cisarua,Kec. Cisarua,Kab. Bogor,16750,-6.6849,106.9351,SWASTA,A
SMAS CITRA MADANI,20253322,Pabuaran,Kec. Cibinong,Kab. Bogor,16916,-6.4741017,106.8461617,SWASTA,B
SMAS CITRA NUSA,20232326,Tengah,Kec. Cibinong,Kab. Bogor,16914,-6.4741467,106.830415,SWASTA,A
SMAS DAARUL ISTIQOOMAH,20231288,Cileungsi,Kec. Cileungsi,Kab. Bogor,16820,-6.402,106.9633,SWASTA,B
SMAS DARUL FAIZIN,20232331,Caringin,Kec. Caringin,Kab. Bogor,16730,-6.7023,106.8164,SWASTA,A
SMAS DARUL KHOLIDIN,20232356,Tegal,Kec. Kemang,Kab. Bogor,16310,-6.4734,106.6987,SWASTA,B
SMAS DARUSSALAM PURWASARI,20231292,Purwasari,Kec. Dramaga,Kab. Bogor,16680,-6.626,106.7193,SWASTA,B
SMAS DARUT TAQWA,20232329,Pakansari,Kec. Cibinong,Kab. Bogor,16915,-6.4832733,106.8431783,SWASTA,A
SMAS DARUTAFSIR,20200670,Cibanteng,Kec. Ciampea,Kab. Bogor,16620,-6.5584,106.7153,SWASTA,A
SMAS DWIWARNA,20200686,Pamager Sari,Kec. Parung,Kab. Bogor,16330,-6.452,106.7296,SWASTA,A
SMAS FAJAR DUNIA,20254158,Mampir,Kec. Cileungsi,Kab. Bogor,16820,-6.4364,106.9949,SWASTA,A
SMAS FAJAR HIDAYAH,20252184,Ciangsana,Kec. Gunungputri,Kab. Bogor,16968,-6.3659,106.9554,SWASTA,A
SMAS FATHAN MUBINA,20232335,Banjar Sari,Kec. Ciawi,Kab. Bogor,16760,-6.6779,106.8646,SWASTA,A
SMAS GEMILANG YASIFA,20253249,Citaringgul,Kec. Babakan Madang,Kab. Bogor,16811,-6.5612,106.8571,SWASTA,B
SMAS GITA PGRI,20232336,Wates Jaya,Kec. Cigombong,Kab. Bogor,16740,-6.7493,106.8048,SWASTA,B
SMAS GLOBAL MANDIRI,20254358,Wanaherang,Kec. Gunungputri,Kab. Bogor,16965,-6.4079,106.9395,SWASTA,A
SMAS HANURA,20232337,Cihideung Udik,Kec. Ciampea,Kab. Bogor,16620,-6.5657,106.7115,SWASTA,B
SMAS HARAPAN BANGSA,20200688,Ciburuy,Kec. Cigombong,Kab. Bogor,16740,-6.7359,106.8186,SWASTA,B
SMAS HIDAYATUL IKHWAN,20200689,Tenjo,Kec. Tenjo,Kab. Bogor,16370,-6.3284,106.4542,SWASTA,B
SMAS IBNU AQIL,20232338,Laladon,Kec. Ciomas,Kab. Bogor,16610,-6.5791,106.7546,SWASTA,A
SMAS IBNU HAJAR,20232339,Pasarean,Kec. Pamijahan,Kab. Bogor,16810,-6.6362,106.6576,SWASTA,A
SMAS INDOCEMENT,20231299,Puspanegara,Kec. Citeureup,Kab. Bogor,16810,-6.4838,106.8787,SWASTA,A
SMAS ISLAM HASMI,20270720,Sukamantri,Kec. Tamansari,Kab. Bogor,16610,-6.6374,106.7788,SWASTA,A
SMAS ISLAM PAMBUDI LUHUR,20231304,Cibening,Kec. Pamijahan,Kab. Bogor,16810,-6.6383,106.6797,SWASTA,A
SMAS ISLAM RIYADLUL JANNAH,20251938,Singajaya,Kec. Jonggol,Kab. Bogor,16830,-6.2358,107.3572,SWASTA,A
SMAS IT RAUDHATUL ULUM,20276389,Cigudeg,Kec. Cigudeg,Kab. Bogor,16660,-6.5542,106.5476,SWASTA,B
SMAS IT YAPIRA,69770473,Sukamulya,Kec. Rumpin,Kab. Bogor,16350,-6.3622,106.648,SWASTA,A
SMAS KETAPANG 3,20254097,Nagrak,Kec. Gunungputri,Kab. Bogor,16968,-6.4003,106.9481,SWASTA,A
SMAS KORNITA,20231308,Babakan,Kec. Dramaga,Kab. Bogor,16680,-6.5841,106.7404,SWASTA,A
SMAS LABS SCHOOL KAIZEN,69786312,Bojong Kulur,Kec. Gunungputri,Kab. Bogor,16969,-6.3313,106.9718,SWASTA,A
SMAS MA ARIF NU,20268864,Pagelaran,Kec. Ciomas,Kab. Bogor,16610,-6.6013,106.7596,SWASTA,B
SMAS MADANIA,20231312,Tegal,Kec. Kemang,Kab. Bogor,16330,-6.4896,106.7189,SWASTA,A
SMAS MAFAZAH,20231313,Barengkok,Kec. Leuwiliang,Kab. Bogor,16640,-6.592855,106.634198,SWASTA,B
SMAS Man Ana,69774834,Gunung Picung,Kec. Pamijahan,Kab. Bogor,16630,-6.6529,106.6665,SWASTA,B
SMAS MANBAUL HUDA,20231314,SIRNASARI,Kec. Tanjung Sari,Kab. Bogor,16841,-6.6159,107.1557,SWASTA,B
SMAS MANDALA,20231315,Cibeber I,Kec. Leuwiliang,Kab. Bogor,16640,-6.584,106.6183,SWASTA,B
SMAS MARDI WALUYA,20231316,Ciriung,Kec. Cibinong,Kab. Bogor,16918,-6.4655,106.8585,SWASTA,A
SMAS MARSUDIRINI,20231317,Tegal,Kec. Kemang,Kab. Bogor,16310,-6.4821,106.703,SWASTA,A
SMAS MATHLAHUL HUDA,20253557,Cibunar,Kec. Parungpanjang,Kab. Bogor,16360,-6.3429,106.5633,SWASTA,A
SMAS MIFTAHUL HUDA AL BARKAH,20272074,Sukawangi,Kec. Sukamakmur,Kab. Bogor,16830,-6.6558,107.0826,SWASTA,B
SMAS MIFTHAUSSAADAH,60730230,Gintung Cilejet,Kec. Parungpanjang,Kab. Bogor,16360,-6.3563,106.5289,SWASTA,B
SMAS MUHAMMADIYAH CILEUNGSI,20200677,Cileungsi,Kec. Cileungsi,Kab. Bogor,16820,-6.3993,106.9661,SWASTA,A
SMAS MUHAMMADIYAH PAMIJAHAN,20232368,Ciasmara,Kec. Pamijahan,Kab. Bogor,16810,-6.6833,106.6479,SWASTA,A
SMAS MUHAMMADIYAH PARUNG,20232366,Bojong Indah,Kec. Parung,Kab. Bogor,16330,-6.4351,106.6969,SWASTA,B
SMAS MUHAMMADIYAH PURASEDA,20253120,Puraseda,Kec. Leuwiliang,Kab. Bogor,16640,-6.6512,106.6262,SWASTA,A
SMAS MULIA BUANA,20232369,Kabasiran,Kec. Parungpanjang,Kab. Bogor,16360,-6.3454,106.5728,SWASTA,B
SMAS NURUL FALAAH,20252959,Cibadung,Kec. Gunung Sindur,Kab. Bogor,16340,-6.4106,106.6955,SWASTA,A
SMAS NURUL HIKMAH,20268950,Pabuaran,Kec. Cibinong,Kab. Bogor,16916,-6.4537,106.8512,SWASTA,C
SMAS NURUL HIKMAH,20231303,Sukamanah,Kec. Jonggol,Kab. Bogor,16830,-6.4389,107.055,SWASTA,A
SMAS PANCAR BAKTI,20280621,Karang Tengah,Kec. Babakan Madang,Kab. Bogor,16810,-6.6008,106.9295,SWASTA,B
SMAS PELITA HARAPAN,20231343,Sentul,Kec. Babakan Madang,Kab. Bogor,16810,-6.6195,106.7742,SWASTA,A
SMAS PGRI CIAWI,20232392,Banjar Wangi,Kec. Ciawi,Kab. Bogor,16760,-6.6772,106.8603,SWASTA,A
SMAS PGRI CIBINONG,20232396,Ciriung,Kec. Cibinong,Kab. Bogor,16918,-6.4671567,106.8649167,SWASTA,A
SMAS PGRI JASINGA,20231347,Koleang,Kec. Jasinga,Kab. Bogor,16670,-6.4836,106.4711,SWASTA,B
SMAS PGRI JONGGOL,20232391,Singajaya,Kec. Jonggol,Kab. Bogor,16830,-6.4693,107.0608,SWASTA,B
SMAS PGRI LEUWILIANG,20200669,Cibeber I,Kec. Leuwiliang,Kab. Bogor,16640,-6.585,106.6168,SWASTA,A
SMAS PGRI RUMPIN,20231348,Cibodas,Kec. Rumpin,Kab. Bogor,16350,-6.5046,106.6546,SWASTA,A
SMAS PILAR INDONESIA,20279952,Ciangsana,Kec. Gunungputri,Kab. Bogor,16968,-6.3712,106.9481,SWASTA,A
SMAS PLUS CENDEKIA CIKEAS,20268965,Nagrak,Kec. Gunungputri,Kab. Bogor,16967,-6.3858,106.9469,SWASTA,B
SMAS PLUS DARUSSALAM KOPOSARI,20269650,Cileungsi,Kec. Cileungsi,Kab. Bogor,16820,-6.3978,106.956,SWASTA,B
SMAS PLUS IBNU SINA,69775678,Cibening,Kec. Pamijahan,Kab. Bogor,16810,-6.6306,106.6792,SWASTA,B
SMAS PM AT TAQWA,69786982,Nagrak,Kec. Gunungputri,Kab. Bogor,16967,-6.3812,106.9441,SWASTA,A
SMAS PURWA BHAKTI,20268437,Cileungsi,Kec. Ciawi,Kab. Bogor,16760,-6.7338,106.8337,SWASTA,B
SMAS PUSPA BANGSA,20271986,Cibadak,Kec. Sukamakmur,Kab. Bogor,16830,-6.5785,106.9591,SWASTA,C
SMAS PUSPA MEKAR,20254122,Gunung Sari,Kec. Citeureup,Kab. Bogor,16810,-6.5018,106.9016,SWASTA,B
SMAS RIYADLUL JANNAH,20200671,Babakan,Kec. Ciseeng,Kab. Bogor,16330,-6.4687,106.7116,SWASTA,A
SMAS SAINT ENOCH,20253093,Sukamaju,Kec. Jonggol,Kab. Bogor,16830,-6.4446,107.0407,SWASTA,B
SMAS SEJAHTERA YASINA,20232412,Wates Jaya,Kec. Cigombong,Kab. Bogor,16110,-6.7525,106.7921,SWASTA,B
SMAS SMART EKSELENSIA INDONESIA,20231356,Jampang,Kec. Kemang,Kab. Bogor,16310,-6.4735,106.7295,SWASTA,A
SMAS TAMAN ISLAM,20200673,Situ Udik,Kec. Cibungbulang,Kab. Bogor,16630,-6.6142,106.6564,SWASTA,B
SMAS TARBIYATUL FALAH,20200674,Cinangka,Kec. Ciampea,Kab. Bogor,16620,-6.5853,106.7055,SWASTA,B
SMAS TERPADU ATAM BINA INSANI,20232404,Kalong I,Kec. Leuwisadeng,Kab. Bogor,16650,-6.5666,106.5595,SWASTA,B
SMAS TRIPLE J CITEUREUP,20200675,Karang Asem Barat,Kec. Citeureup,Kab. Bogor,16810,-6.4855,106.8667,SWASTA,A
SMAS TRISULA,20253974,Tlajung Udik,Kec. Gunungputri,Kab. Bogor,16962,-6.4516,106.9084,SWASTA,C
SMAS WIDYA KUSUMA,20231359,Cileungsi,Kec. Cileungsi,Kab. Bogor,16820,-6.4323,106.9562,SWASTA,A
SMAS WIJAYA PLUS CIAWI,20232406,Bitung Sari,Kec. Ciawi,Kab. Bogor,16740,-6.6768,106.8398,SWASTA,Belum/Tidak Terakreditasi
SMAS YADIKA 7 BOGOR,20231361,Parakan Jaya,Kec. Kemang,Kab. Bogor,16310,-6.519878,106.75761,SWASTA,A
SMAS YAPIDA,20232409,Bojong Nangka,Kec. Gunungputri,Kab. Bogor,16963,-6.4278,106.906,SWASTA,A
SMAS YAPISA,20232410,Nagrak,Kec. Gunungputri,Kab. Bogor,16967,-6.384,106.9422,SWASTA,A
SMAS YAPNI,20232411,Pondok Rajeg,Kec. Cibinong,Kab. Bogor,16914,-6.462875,106.8249483,SWASTA,B
SMA NEGERI 1 PANUMBANGAN,70013944,Buanamekar,Kec. Panumbangan,Kab. Ciamis,46263,-7.0640704,108.194505,NEGERI,Belum/Tidak Terakreditasi
SMAN 1 BANJARSARI,20211563,Ratawangi,Kec. Banjarsari,Kab. Ciamis,46383,-7.5025,108.6316,NEGERI,A
SMAN 1 BAREGBEG,20211491,Baregbeg,Kec. Baregbeg,Kab. Ciamis,46274,-7.3152,108.3576,NEGERI,A
SMAN 1 CIAMIS,20211565,Ciamis,Kec. Ciamis,Kab. Ciamis,46211,-7.3306,108.3551,NEGERI,A
SMAN 1 CIHAURBEUTI,20211578,Pamokolan,Kec. Cihaurbeuti,Kab. Ciamis,46262,-7.195567,108.2004,NEGERI,A
SMAN 1 CIMARAGAS,20252287,Cimaragas,Kec. Cimaragas,Kab. Ciamis,46381,-7.3708,108.4637,NEGERI,A
SMAN 1 CISAGA,20252324,Mekarmukti,Kec. Cisaga,Kab. Ciamis,46386,-7.34994,108.510478,NEGERI,A
SMAN 1 KAWALI,20211490,Kawalimukti,Kec. Kawali,Kab. Ciamis,46253,-7.1869,108.3639,NEGERI,A
SMAN 1 LAKBOK,20211502,Cintajaya,Kec. Lakbok,Kab. Ciamis,46385,-7.3879,108.6748,NEGERI,A
SMAN 1 LUMBUNG,20263279,Lumbung,Kec. Lumbung,Kab. Ciamis,46258,-7.1617,108.3309,NEGERI,A
SMAN 1 PAMARICAN,20211504,Neglasari,Kec. Pamarican,Kab. Ciamis,46382,-7.4427,108.5196,NEGERI,A
SMAN 1 PANAWANGAN,20211505,Cinyasag,Kec. Panawangan,Kab. Ciamis,46255,-7.0911,108.3753,NEGERI,A
SMAN 1 RANCAH,20211509,Rancah,Kec. Rancah,Kab. Ciamis,46387,-7.2073,108.5018,NEGERI,A
SMAN 1 SINDANGKASIH,20238437,Sindangkasih,Kec. Sindangkasih,Kab. Ciamis,46268,-7.309,108.2434,NEGERI,A
SMAN 1 SUKADANA,20253152,Margaharja,Kec. Sukadana,Kab. Ciamis,46272,-7.2569,108.4448,NEGERI,A
SMAN 2 BANJARSARI,20255008,CIGAYAM,Kec. Banjarsari,Kab. Ciamis,46383,-7.5022,108.5634,NEGERI,A
SMAN 2 CIAMIS,20211500,Linggasari,Kec. Ciamis,Kab. Ciamis,46216,-7.3293,108.3458,NEGERI,A
SMAN 3 CIAMIS,20211499,Maleber,Kec. Ciamis,Kab. Ciamis,46214,-7.3199433,108.3391617,NEGERI,A
SMA AL MANSHUR,70042032,Sandingtaman,Kec. Panjalu,Kab. Ciamis,46264,-7.1498,108.307,SWASTA,Belum/Tidak Terakreditasi
SMA ERHA JATINAGARA,69988140,Jatinagara,Kec. Jatinagara,Kab. Ciamis,46273,-7.171549,108.418592,SWASTA,B
SMA ISLAM TERPADU AR-ROFII JATILUHUR,70040620,Rancah,Kec. Rancah,Kab. Ciamis,46387,-7.1877,108.4988,SWASTA,Belum/Tidak Terakreditasi
SMA NUSANTARA CIAMIS,70010787,Sukamaju,Kec. Baregbeg,Kab. Ciamis,-,-7.3187344,108.3685904,SWASTA,B
SMA Tahfidz Anharul Ulum,70024225,Winduraja,Kec. Kawali,Kab. Ciamis,46253,-7.1784376,108.3715452,SWASTA,B
SMA TERPADU AL-MUAAWANAH,70006980,Rajadesa,Kec. Rajadesa,Kab. Ciamis,46254,-7.1824,108.4379,SWASTA,B
SMA TERPADU CIKANYERE,69988141,Sirnabaya,Kec. Rajadesa,Kab. Ciamis,46254,-7.17822,108.43426,SWASTA,B
SMA TERPADU DAMPASAN,69882355,Ratawangi,Kec. Banjarsari,Kab. Ciamis,46383,-7.512264,108.636231,SWASTA,B
SMAS AL HASAN BANJARSARI,20263274,Kawasen,Kec. Banjarsari,Kab. Ciamis,46383,-7.5125,108.6182,SWASTA,B
SMAS AL MUMINUN CIPAKU,20263276,Muktisari,Kec. Cipaku,Kab. Ciamis,46252,-7.2663,108.3914,SWASTA,C
SMAS Al-Fadlil,70011225,Kalapasawit,Kec. Lakbok,Kab. Ciamis,46385,-7.3945612,108.658527,SWASTA,B
SMAS AR RISSALAH,20252464,Pamalayan,Kec. Cijeungjing,Kab. Ciamis,46271,-7.3238,108.3839,SWASTA,A
SMAS IBNU SIENA CIKONENG,20256408,Margaluyu,Kec. Cikoneng,Kab. Ciamis,46261,-7.2166,108.4985,SWASTA,A
SMAS PLUS DARUSSALAM,20252465,Dewasari,Kec. Cijeungjing,Kab. Ciamis,46271,-7.3346,108.3915,SWASTA,A
SMAS PLUS INFORMATIKA,20251798,Maleber,Kec. Ciamis,Kab. Ciamis,46214,-7.3236255,108.3459017,SWASTA,A
SMAS PLUS MULTAZAM,20211562,Nagarajaya,Kec. Panawangan,Kab. Ciamis,46255,-7.1336,108.4238,SWASTA,A
SMAS YRM CIHAWAR,20251964,Sukaharja,Kec. Rajadesa,Kab. Ciamis,46254,-7.1968,108.5077,SWASTA,A
SMA NEGERI  1 CIBEBER,20203740,Mayak,Kec. Cibeber,Kab. Cianjur,43262,-6.9164,107.1217,NEGERI,A
SMA NEGERI  1 CIBINONG,20203741,Sukajadi,Kec. Cibinong,Kab. Cianjur,43271,-7.3203,107.1293,NEGERI,A
SMA NEGERI  1 CILAKU,20203742,Sirnagalih,Kec. Cilaku,Kab. Cianjur,43285,-6.8485,107.1361,NEGERI,A
SMA NEGERI  1 CIRANJANG,20203743,Ciranjang,Kec. Ciranjang,Kab. Cianjur,43282,-6.8181,107.247,NEGERI,A
SMA NEGERI  1 KADUPANDAK,20252192,Kadupandak,Kec. Kadupandak,Kab. Cianjur,43268,-7.2541,107.0472,NEGERI,A
SMA NEGERI 1 MANDE,20252202,Bobojong,Kec. Mande,Kab. Cianjur,43292,-6.7634,107.2381,NEGERI,A
SMA NEGERI 1 PACET,20203744,Sukanagalih,Kec. Pacet,Kab. Cianjur,43253,-6.7014,107.0527,NEGERI,A
SMA NEGERI 1 PASIRKUDA,69761934,PADAMULYA,Kec. Pasirkuda,Kab. Cianjur,43266,-7.1992,107.1996,NEGERI,B
SMA NEGERI 1 SINDANG BARANG,20203745,Saganten,Kec. Sindang Barang,Kab. Cianjur,43272,-7.4522,107.1384,NEGERI,A
SMA NEGERI 1 SUKANAGARA,20203734,SUKAMEKAR,Kec. Sukanagara,Kab. Cianjur,43264,-7.0912,107.1359,NEGERI,A
SMA NEGERI 1 SUKARESMI,20203733,Kawungluwuk,Kec. Sukaresmi,Kab. Cianjur,43254,-6.7198,107.0762,NEGERI,A
SMA NEGERI 1 warungkondang,20203722,Cintaasih,Kec. Gekbrong,Kab. Cianjur,43256,-6.9083,107.0878,NEGERI,A
SMA NEGERI 2 CIBINONG,69886260,Padasuka,Kec. Cibinong,Kab. Cianjur,43271,-7.2517,107.234,NEGERI,B
SMAN 1 BOJONGPICUNG,69964651,Jati,Kec. Bojong Picung,Kab. Cianjur,43283,-6.8668,107.2381,NEGERI,A
SMAN 1 CIANJUR,20203739,Sawah Gede,Kec. Cianjur,Kab. Cianjur,43212,-6.824476,107.1315452,NEGERI,A
SMAN 1 KARANG TENGAH,69964390,Sukasarana,Kec. Karang Tengah,Kab. Cianjur,43281,-6.7847,107.2019,NEGERI,A
SMAN 1 PAGELARAN,69957429,Sindangkerta,Kec. Pagelaran,Kab. Cianjur,43266,-7.1895082,107.1471372,NEGERI,B
SMAN 2 CIANJUR,20203723,Limbangan Sari,Kec. Cianjur,Kab. Cianjur,43251,-6.8245,107.1225,NEGERI,A
SMA AL KAMIL ISLAMIC BOARDING SCHOOL,69943680,Hegarmanah,Kec. Sukaluyu,Kab. Cianjur,43284,-6.8136,107.2377,SWASTA,B
SMA AL MA MOEN,69929051,Sabandar,Kec. Karang Tengah,Kab. Cianjur,43281,-6.8103,107.1678,SWASTA,B
SMA AL-HASBI,69904078,Sukasari,Kec. Cilaku,Kab. Cianjur,43285,-6.87823,107.1434003,SWASTA,B
SMA AL-HIDAYAH,69874367,Wanasari,Kec. Agrabinta,Kab. Cianjur,43273,-7.4055,106.957,SWASTA,B
SMA AL-JUNDIYAH,69956708,Warudoyong,Kec. Cikalong Kulon,Kab. Cianjur,43291,-6.70992,107.236979,SWASTA,C
SMA AWWALULHUDA,69902487,Bojongkaso,Kec. Agrabinta,Kab. Cianjur,43273,-7.393737,106.822719,SWASTA,C
SMA BINA INSAN MULIA CIBINONG,69921082,Panyindangan,Kec. Cibinong,Kab. Cianjur,43271,-7.3969,107.0943,SWASTA,C
SMA BUDI BAKTI 1,69899008,Mekarsari,Kec. Naringgul,Kab. Cianjur,43274,-7.3749845,107.3491643,SWASTA,C
SMA BUDI BAKTI 2,69899009,Mekarjaya,Kec. Cidaun,Kab. Cianjur,43275,-7.3015,107.4438,SWASTA,C
SMA CIMENTENG,69874000,Mekarsari,Kec. Pagelaran,Kab. Cianjur,43266,-7.168388,107.216645,SWASTA,Belum/Tidak Terakreditasi
SMA CITRA NUSANTARA SINDANGBARANG,69921989,MEKARLAKSANA,Kec. Sindang Barang,Kab. Cianjur,43272,-7.4664,107.1688,SWASTA,B
SMA COKROAMINOTO BALEGEDE,69949270,Balegede,Kec. Naringgul,Kab. Cianjur,43274,-7.4124708,107.289134,SWASTA,B
SMA COKROAMINOTO SUKARESMI,69786222,Kawungluwuk,Kec. Sukaresmi,Kab. Cianjur,43254,-6.8426,107.0269,SWASTA,B
SMA DAARUL MUAWANAH,69907646,Kertasari,Kec. Sindang Barang,Kab. Cianjur,43272,-7.435736,107.076694,SWASTA,C
SMA DAR EL FIKRI CIANJUR,69883257,Sukaluyu,Kec. Sukaluyu,Kab. Cianjur,43284,-6.8524,107.2085,SWASTA,B
SMA DARUL ULUM KADUPANDAK,69922305,Wargaasih,Kec. Kadupandak,Kab. Cianjur,43268,-7.1828,107.024,SWASTA,B
SMA HISHNUS SALAM,69978248,GELARWANGI,Kec. Cidaun,Kab. Cianjur,43275,-7.362574,107.461889,SWASTA,C
